after_split_name	page_title_short	page_title_long	page_title_longer_max-80	name	name_ed	surname	tl2_abbreviation_ed	is_supplement	conflicting_abbrev	tl2_abbreviation_alt	dates	description
TL_2_Suppl_8_0211.md	Goldie	Goldie, John	Goldie, John [std. Goldie]	Goldie, John	Goldie, John	Goldie	Goldie				1793-1886	Scottish gardener and traveler, born 21 Mar 1793 in Kirkoswald, (Ayrshire), apprenticed as a gardener, W.J. Hooker who met Goldie at Glasgow Gardens encouraged him to travel, Goldie then visited N. America 1817-1819 and 1833, and Russia 1824 and 1830, and emigrated to Canada in 1844, died 23 Jul 1886 in Ayr, Ontario. 
TL_2_Suppl_8_0212.md	E.A. Goldman	Goldman, Edward Alphonso (né Goltman)	Goldman, Edward Alphonso (né Goltman) [std. E.A. Goldman]	Goldman, Edward Alphonso (né Goltman)	Goldman, Edward Alphonso (né Goltman)	Goldman	E.A. Goldman				1873-1946	American field naturalist and mammalogist, born 7 Jul 1873 in Mount Carroll, Illinois, moved with his family to Tulare Co., Calif. 1888, field naturalist (and many other positions), U.S. Biological Survey (U.S.D.A.) 1892-1943, interrupted only by W.W.-I service in France with the Sanitary Corps (rodent control) of the American Expeditionary Force 1918-1919, closely associated with E.W. Nelson in Calif. and Mexico, died 2 Sep 1946 in Washington, D.C. (buried in Arlington Natl. Cemetary). 
TL_2_Suppl_8_0213.md	M. Goldschm.	Goldschmidt, Moritz	Goldschmidt, Moritz [std. M. Goldschm.]	Goldschmidt, Moritz	Goldschmidt, Moritz	Goldschmidt	M. Goldschm.				1863-1916	German botanist, born 12 Oct 1863 in Bischhausen bei Eschwege (Hesse), longtime teacher in Geisa (Thuringia), student and colleague of Adalbert Geheeb, died of diabetes 7 Sep 1916 in Geisa. 
TL_2_Suppl_8_0214.md	Golenkin	Golenkin, Mikhail [Michael, Michail] Ilitch [Ilich, Iljitsch]	Golenkin, Mikhail [Michael, Michail] Ilitch [Ilich, Iljitsch] [std. Golenkin]	Golenkin, Mikhail [Michael, Michail] Ilitch [Ilich, Iljitsch]	Golenkin, Mikhail [Michael, Michail] Ilitch [Ilich, Iljitsch]	Golenkin	Golenkin				1864-1941	Russian botanist, born 4 Feb 1864 in St. Petersburg, dir., Moscow Bot. Garden 1900-1931, visited Buit- enzorg (Bogor) Dec 1904-Mai 1905, died 15 Jun 1941 in Moscow. 
TL_2_Suppl_8_0215.md	Gombault	Gombault, René	Gombault, René [std. Gombault]	Gombault, René	Gombault, René	Gombault	Gombault				1871-1971	French bureaucrat and botanist, French Customs Inspector-Gén. of Syria and Lebanon in 1930s, resided in Versailles (Seine-et-Oise) ca. 1939. 
TL_2_Suppl_8_0216.md	Gombocz	Gombocz, Endre A.	Gombocz, Endre A. [std. Gombocz]	Gombocz, Endre A.	Gombocz, Endre A.	Gombocz	Gombocz				1882-1945	Hungarian botanist, historian and bibliographer, born 9 Jun 1882 in Sopron, dir., Hungarian Natl. Museum, Budapest from 1936, died 16 Jan 1945 in Budapest. 
TL_2_Suppl_8_0217.md	Gomes	Gomes, Bernardino António	Gomes, Bernardino António [std. Gomes]	Gomes, Bernardino António	Gomes, Bernardino António	Gomes	Gomes				1768-1823	Portuguese physician, chemist, botanist and parasitologist, born 29 Oct 1768 in Paredes de Coura, studied medicine at Univ. of Coimbra and graduated Mai 1793, named surgeon to the Royal Navy 1797, resided in Brazil 1797-1801, returned to Portugal and worked as a physician in military hospitals, introduced smallpox vaccination to Portugal 1812, returned briefly to Rio de Janeiro 1817, died 13 Jan 1823 in Lisbon. 
TL_2_Suppl_8_0218.md	Gomes f.	Gomes, Bernardino António (filius)	Gomes, Bernardino António (filius) [std. Gomes f.]	Gomes, Bernardino António (filius)	Gomes, Bernardino António (filius)	Gomes	Gomes f.				1806-1877	Portuguese physician and botanist, born 22 Sep 1806 in Lisbon, bachelor degree in mathematics, Univ. of Coimbra, Dr. en médecine Paris, dir., Naval Hospital, doctor of the Real Câmara, president, Society of Medical Sciences of Lisbon, founder and editor, <em>Gazeta Médica</em>, died 8 Apr 1877 in Lisbon. 
TL_2_Suppl_8_0219.md	M. Gómez	Gómez de la Maza [y Jiménez], Manuel	Gómez de la Maza [y Jiménez], Manuel [std. M. Gómez]	Gómez de la Maza [y Jiménez], Manuel	Gómez de la Maza [y Jiménez], Manuel	Gómez de la Maza [y Jiménez]	M. Gómez				1867-1916	"Cuban botanist and physician, born 10 Mai 1867 in Havana, Doctorate in Medicine and Natural Sciences 1887 Univ. of Havana, prof. of botany and phytogeography, Univ. of Havana, died 26 Jan 1916 in Havana, ""... era un botánico de gabinete"" who on his death left numerous unpublished mss. "
TL_2_Suppl_8_0220.md	Gomont (Suppl.)	Gomont, Maurice Augustin (Suppl.)	Gomont, Maurice Augustin [std. Gomont] (Suppl.)	*Gomont, Maurice Augustin	Gomont, Maurice Augustin	Gomont	Gomont	(Suppl.)			1839-1909	"French forester and algologist, born 11 Mai 1839 in Rouen, entered forestry school in Nancy 1858, appointed ""garde-général des forêts"" in Rouen, frustrated by administrative duties he resigned, began painting (with some success) but by the 1870s turned again to natural sciences, ""Préparateur"", Muséum natl. d'Histoire naturelle, Paris, where he focused his attention on algae, died 22 Jun 1909 in Rouen. "
TL_2_Suppl_8_0221.md	Gonggrijp	Gonggrijp [Gonggryp], Justus Willem	Gonggrijp [Gonggryp], Justus Willem [std. Gonggrijp]	Gonggrijp [Gonggryp], Justus Willem	Gonggrijp [Gonggryp], Justus Willem	Gonggrijp [Gonggryp]	Gonggrijp				1885-1974	Surinam-born Dutch forester, born 20 Mai 1885 in Plantage Clevia, educated at Wageningen Agricultural College, Wageningen, The Netherlands, Forest Officer in Surinam 1908-1923, then in Dutch East Indies (In- donesia) until retirement in 1935, in retirement a lecturer in geography, Delft Technical College, The Netherlands, died 3 Oct 1974 in Breda, The Netherlands. 
TL_2_Suppl_8_0222.md	Gonnet	Gonnet, Philippe[-Prosper] Hilarion (Abbé)	Gonnet, Philippe[-Prosper] Hilarion (Abbé) [std. Gonnet]	Gonnet, Philippe[-Prosper ?] Hilarion (Abbé)	Gonnet, Philippe[-Prosper] Hilarion (Abbé)	Gonnet	Gonnet				1796-1861	French cleric and botanist, born 12 Oct 1796 in Baucet (Vaucluse), ordained 1820 and held various posts in Gard from 1840 until his death 10 Feb 1861 in Tresques. 
TL_2_Suppl_8_0223.md	Gonz. Frag. (Suppl.)	González Fragoso [Gonzales Fragoso], Romualdo (Suppl.)	González Fragoso [Gonzales Fragoso], Romualdo [std. Gonz. Frag.] (Suppl.)	*González Fragoso [Gonzales Fragoso], Romualdo	González Fragoso [Gonzales Fragoso], Romualdo	González Fragoso [Gonzales Fragoso]	Gonz. Frag.	(Suppl.)			1862-1928	Spanish physician and mycologist, born 18 Mai 1862 in Seville, finished his study of medicine in 1882 in Seville, went to Paris and received M.D., received the Order of Isabella the Catholic 1884, pediatrician in Seville from 1885, traveled again to France, Belgium and Switzerland, conservator, museum for natural sciences, Madrid 1911, president, Real Sociedad Española de Historia Natural 1920, died 3 Jun 1928 in Madrid. 
TL_2_Suppl_8_0224.md	R.D. Good	Good, Ronald DOyley	Good, Ronald DOyley [std. R.D. Good]	Good, Ronald D'Oyley	Good, Ronald DOyley	Good	R.D. Good				1896-1992	British botanist and plant geographer, born 5 Mar 1896 in Dorchester (Dorset), military service W.W.-I from 1914-1918 and wounded in action, M.A. and Sc.D. Cambridge, Botany staff, BMNH 1922-1928, then head of Botany, Hull Univ., Hull, England from 1928 until retirement in 1959, F.L.S., died 11 Dec 1992 in Hull (Yorks.). 
TL_2_Suppl_8_0225.md	Goodale	Goodale, George Lincoln	Goodale, George Lincoln [std. Goodale]	Goodale, George Lincoln	Goodale, George Lincoln	Goodale	Goodale				1839-1923	"American botanist and physician, born 3 Aug 1839 in Saco (York Co.), Maine, A.B. 1860 and M.A. (hon.) 1866 Amherst College, Amherst, Mass., M.D. 1863 Bowdoin College, Bowdoin, Maine and 1863 Harvard Medi- cal School, Cambridge, Mass., practised medicine in Portland, Maine and taught in the Portland School for Medical Instruction 1863-1866, chair of natural science and chem- istry, Bowdoin College 1867-1872, prof. of materia medica, Medical School of Maine 1868-1872, lecturer on vegetable physiology 1872-1873, asst. prof. 1873-1878, prof. of botany 1878-1909 (Fisher Prof. of Natural History 1888-1909) and dir. 1879-1909, Bo- tanic Garden, all at Harvard Univ., responsible for the Botanical Museum of same and commissioned the ""glass flowers"" made by Leopold (1822-1895) and Rudolf Blaschka (1857-1929), retired 1909, Natl. Academy of Sciences, president, A.A.A.S. 1890-1891, LL.D. 1890 Amherst, 1890 Bowdoin and 1896 Princeton, president (and one of several founders), New England Botanical Club 1897-1899, died 12 Apr 1923 in Cambridge, Mass. "
TL_2_Suppl_8_0226.md	Gooden.	Goodenough, Samuel (Rev. Dr.)	Goodenough, Samuel (Rev. Dr.) [std. Gooden.]	Goodenough, Samuel (Rev. Dr.)	Goodenough, Samuel (Rev. Dr.)	Goodenough	Gooden.				1743-1827	clergyman and student of British plants, born 29 Apr 1743 in Kimpton (Hants.), B.A. 1764, M.A. 1767, Dr. Civil Law (LL.D.) 1772 Oxford, one of the three founders of the Linnean Society 1788 and its first treasurer, F.R.S. 1789, Bishop of Carlisle 1808, died 12 August 1827 in Worthing (Sussex) (buried in Westminster Abbey). 
TL_2_Suppl_8_0227.md	Goodman	Goodman, George Jones	Goodman, George Jones [std. Goodman]	Goodman, George Jones	Goodman, George Jones	Goodman	Goodman				1904-1999	American botanist, born 5 Nov 1904 in Evanston, Wyoming, A.B. 1929 Univ. of Wyoming, Laramie, M.Sc. 1930 and Ph.D. 1933, Washington Univ., St. Louis, Missouri (under J.M. Greenman), Asst. Prof. of Botany, Univ. of Okla- homa, Norman 1933-1936, then Assoc. Prof. of Botany and Curator of Herb., Iowa State College, Ames 1936-1945, returned to Univ. of Oklahoma as Prof. of Botany and Curator of Robert Bebb Herb. 1945-1975, Curator emeritus 1975-1999, died 23 Mai 1999 in Norman, Oklahoma. 
TL_2_Suppl_8_0228.md	Goodspeed	Goodspeed, Thomas Harper (Harper)	Goodspeed, Thomas Harper (Harper) [std. Goodspeed]	Goodspeed, Thomas Harper ('Harper')	Goodspeed, Thomas Harper (Harper)	Goodspeed	Goodspeed				1887-1966	American botanist specializing in <em>Nicotiana</em>, born 17 Mai 1887 in Springfield, Mass., studied briefly at Gaillard College, Lausanne, Switzerland, A.B. 1909 Brown Univ., Providence, Rhode Island, Ph.D. 1912 Univ. of Calif. at Berkeley, instructor in Botany 1912, asst. prof. 1916, assoc. prof. 1920 and prof. 1928, all Univ. of Calif. at Berkeley, curator 1926 and first dir. 1934 of revived and expanded Botanic Garden in Berkeley, from which he launched collecting trips to the Andes, Dr. h.c. 1940 Brown Univ. and 1943 Univ. of La Plata (Argentina), hon. Sc.D. 1957 Univ. of Cuzco (Peru), numerous other honors, retired 1957, died 17 Mai 1966 in Calistoga, Calif. 
TL_2_Suppl_8_0229.md	Goor (Suppl.)	Goor, Andreas Cornelis Joseph van (Suppl.)	Goor, Andreas Cornelis Joseph van [std. Goor] (Suppl.)	*Goor, Andreas Cornelis Joseph van	Goor, Andreas Cornelis Joseph van	Goor	Goor	(Suppl.)			1881-1925	Dutch phycologist, born 24 Oct 1881 in Amsterdam, Ph.D. 1917 Amsterdam, asst., Dutch marine biol. station, Den Helder where H.C. Redeke was dir., asst. to Gino Pollacci in Siena, Italy 1924, became ill and returned to Amsterdam where he died 23 Apr 1925. 
TL_2_Suppl_8_0230.md	Gorschb.	Gorschboth, Paul	Gorschboth, Paul [std. Gorschb.]	Gorschboth, Paul	Gorschboth, Paul	Gorschboth	Gorschb.				1896-x	German botanist, doctorate 1927 Berlin. 
TL_2_Suppl_8_0231.md	Gortani	Gortani, Luigi	Gortani, Luigi [std. Gortani]	Gortani, Luigi	Gortani, Luigi	Gortani	Gortani				1850-1908	Italian /Austrian building engineer, architect and botanist, born in Cedarchis di Arta (Friuli) (then part of the Austrian Empire), civil engineering and architect degree 1875 Univ. of Padua, died 16 Feb 1908 in Tolmasso (Tolmezzo). 
TL_2_Suppl_8_0232.md	Gosselman	Gosselman(n), Carl August	Gosselman(n), Carl August [std. Gosselman]	Gosselman(n), Carl August	Gosselman(n), Carl August	Gosselman(n)	Gosselman				1831-1893	Swedish botanist, born 18 Aug 1831 in Karlskrona, student in Lund 1849, Ph.D. 1853 Lund, teacher in Karlskrona from 1865, died 15 Apr 1893 in Elestrop (Skåne). 
TL_2_Suppl_8_0233.md	Gothan (Suppl.)	Gothan, Walther [Walter] [Ulrich Eduard Friedrich] (Suppl.)	Gothan, Walther [Walter] [Ulrich Eduard Friedrich] [std. Gothan] (Suppl.)	*Gothan, Walther [Walter] [Ulrich Eduard Friedrich]	Gothan, Walther [Walter] [Ulrich Eduard Friedrich]	Gothan	Gothan	(Suppl.)			1879-1954	"German paleontologist, born 26 Aug 1879 in Woldegk (Mecklenburg), briefly studied at Clausthal College of Mines, Harz, then College of Mines and Univ. of Berlin, Ph.D. 1905, lecturer, Berlin Col- lege of Mines 1908-1914 and Berlin College of Technology 1914-1933 (prof. from 1919), Prof. of Paleobotany, Humboldt Univ., Berlin 1946-1954, also Geologist, Prussian Geologi- cal Survey and from 1913 Keeper of the Institute of Paleobotany, hon. president of the 1950 and 1954 Botanical Congresses, died 30 Dec 1954 in Berlin-Charlottenburg, ""the Nestor of German Palaeobotany and leader of the Berlin school of palaeobotanists ...."" "
TL_2_Suppl_8_0234.md	Gottsche (Suppl.)	Gottsche, Carl [Karl] Moritz (Suppl.)	Gottsche, Carl [Karl] Moritz [std. Gottsche] (Suppl.)	*Gottsche, Carl [Karl] Moritz	Gottsche, Carl [Karl] Moritz	Gottsche	Gottsche	(Suppl.)			1808-1892	Danish-born German physician and hepaticologist (noted for superb drawings), born 3 Jul 1808 in Altona (then part of Denmark), graduated in Berlin and Copenhagen as doctor of medicine and surgery in 1831, settled in Altona 1834 to care for his father and practice medicine, after his father's death in 1837 he devoted his life to botany and often traveled (e.g. E. Asia 1885), died 28 Sep 1892 [of typhus?] in Altona (then part of Prussia). 
TL_2_Suppl_8_0235.md	Gouan (Suppl.)	Gouan, Antoine (Suppl.)	Gouan, Antoine [std. Gouan] (Suppl.)	*Gouan, Antoine	Gouan, Antoine	Gouan	Gouan	(Suppl.)			1733-1821	French botanist and naturalist, born 15 Nov [not Dec] 1733 in Montpellier, studied in Toulouse then Montpellier, doctorate 1752 (at 19 years of age!), student of F.-B. Sauvages whom he succeeded as dir. of the Jardin des Plantes, Montpellier 1767, died 1 Sep 1821 in Montpellier. 
TL_2_Suppl_8_0236.md	Goy	Goy, Doris Alma	Goy, Doris Alma [std. Goy]	Goy, Doris Alma	Goy, Doris Alma	Goy	Goy				1912-1999	Australian botanist, born in Mount Morgan, Queensland, educated in Mount Morgan state primary and high schools, clerk, Dept. of Agriculture and Stock, Brisbane, Queensland, transfered to Botany Branch (now Queensland Herb.) early 1930s, married botanist Lindsay Stuart Smith (1917-1970) in 1942 and her marriage brought her (then) compulsory retirement, active member Queensland Naturalists' Club and a specialist in Australian ferns, died 9 Oct 1999 in Chernside, Brisbane. 
TL_2_Suppl_8_0237.md	R. Gradmann	Gradmann, Robert Julius Wilhelm	Gradmann, Robert Julius Wilhelm [std. R. Gradmann]	Gradmann, Robert Julius Wilhelm	Gradmann, Robert Julius Wilhelm	Gradmann	R. Gradmann				1865-1950	German floristic botanist, geographer and priest, born 18 Jul 1865 in Lauffen am Neckar, Lutheran priest in Forchtenberg am Kocher, Dr. phil. 1898 Univ. of Tübingen, library dir., Univ. of Tübingen 1901-1919, habilitated 1909, prof., Univ. of Erlangen, retired 1934, died 16 Sep 1950 in Sindelfingen nr. Stuttgart. 
TL_2_Suppl_8_0238.md	Graebn. (Suppl.)	Graebner, [Karl (Carl) Otto Robert Peter] Paul (Suppl.)	Graebner, [Karl (Carl) Otto Robert Peter] Paul [std. Graebn.] (Suppl.)	*Graebner, [Karl (Carl) Otto Robert Peter] Paul	Graebner, [Karl (Carl) Otto Robert Peter] Paul	Graebner	Graebn.	(Suppl.)			1871-1933	German botanist, born 29 Jun 1871 in Aplerbeck (nr. Dortmund), studied at the Kolberg Kgl. Dom. Realgymnasium 1882-1888, in military 1888-1889, employed in nurseries in Gardelegen and Steglitz nr. Berlin, at the garden school Wildpark 1890, volunteer asst. at the Berlin Botanic Garden 1891, studied botany at Berlin Univ. at the instigation of F. Pax, asst. to P. Ascherson 1892, Dr. phil. 1895 Univ. of Berlin, from 1895 employed at the Berlin Botanic Garden, from 1903 also employed by the Dahlem horticultural school, prof. 1910, expert on the heather communities in n. Germany, died 6 Feb 1933 in Berlin (buried in Lichterfelde). 
TL_2_Suppl_8_0239.md	Graebn. f.	Graebner, Paul	Graebner, Paul [std. Graebn. f.]	Graebner, Paul	Graebner, Paul	Graebner	Graebn. f.				1900-1978	German botanist, born 4 Feb 1900 in Berlin-Lichterfelde, Ph.D. 1924 Berlin, employed, Westfälisches Provinzial-Museum für Naturkunde, Münster 1931 (at least). 
TL_2_Suppl_8_0240.md	Graëlls	Graëlls [Graells, Graélls] [y de la Agüera], Mariano de la Paz	Graëlls [Graells, Graélls] [y de la Agüera], Mariano de la Paz [std. Graëlls]	Graëlls [Graells, Graélls] [y de la Agüera], Mariano de la Paz	Graëlls [Graells, Graélls] [y de la Agüera], Mariano de la Paz	Graëlls [Graells	Graëlls				1809-1898	Spanish physician, botanist and naturalist interested in Lepidoptera and mammals, born 24 Jan 1809 in Tricio (Logroño), studied medicine and natural sciences, Barcelona Univ., one of the founders of the Museo de Historia Natural de la Academia de Ciencias y Artes, moved to Madrid in 1837 to be Prof. of Zoology, Real Museo de Ciencias Naturales, then dir. of the museum and the Real Jardín Botánico de Madrid 1845-1868, co-founder Real Academia de Ciencias Exactas, Físicas y Naturales de Madrid, died 14 Feb 1898 in Madrid. 
TL_2_Suppl_8_0241.md	P.W. Graff	Graff, Paul Weidemeyer	Graff, Paul Weidemeyer [std. P.W. Graff]	Graff, Paul Weidemeyer	Graff, Paul Weidemeyer	Graff	P.W. Graff				1880-1969	American mycologist, born 10 Oct 1880 in Indianapolis, Indiana, B.S. 1907 Conn. Agric. College, Storrs, Conn. (now Univ. of Conn.), Aus- tin Teaching Fellow, Harvard Univ., Cambridge, Mass. 1907-1909, mycologist, Bureau of Science, Manila, Philippines 1911-1914 and botanist, Univ. of Philippines 1912-1914, New York Botanical Garden and Columbia Univ., New York, New York 1915-1916, M.A. 1916 and Ph.D. 1932 Columbia Univ., Botany Instructor, Univ. of Montana, Missoula, 1916-ca. 1920, in New York 1920s, from 1931 consulting mycologist, also taught at Mountain Lake Biol. Station, Univ. of Virginia, Charlottesville 1945 and Furman Univ., Greenville, South Carolina 1945, died Oct 1969. 
TL_2_Suppl_8_0242.md	E.H. Graham	Graham, Edward Harrison	Graham, Edward Harrison [std. E.H. Graham]	Graham, Edward Harrison	Graham, Edward Harrison	Graham	E.H. Graham				1902-1966	American botanist and conservationist, born 30 Nov 1902 in New Brighton, Penn., B.Sc. 1927 and Ph.D. 1932, Univ. of Pittsburgh, Asst. Curator of Botany, Carnegie Museum, Pittsburgh, U.S.D.A. Soil Conservation Service 1937-1964, becoming Asst. Admin. for Intl. Programs, Guggenheim Fellow 1954, Board of Governors, The Nature Conservancy, Chairman, Commission on Ecology, I.U.C.N. 1957-1966, in retirement with the Conservation Foundation, Washington, D.C., collected plants in the Guianas (1924) and Utah (1931, 1933, 1935), died 16 Mai 1966 in Falls Church, Virginia. 
TL_2_Suppl_8_0243.md	R.J.D. Graham	Graham, Robert James Douglas	Graham, Robert James Douglas [std. R.J.D. Graham]	Graham, Robert James Douglas	Graham, Robert James Douglas	Graham	R.J.D. Graham				1884-1950	Scottish botanist, born 20 Jul 1884 in Perth, B.Sc. and M.A. 1904 Univ. of St Andrews, economic botanist in Indian Agricultural Service 1907-1917, D.Sc. 1917 Univ. of St Andrews, W.W.-I Army service as Lieut.-Col., Asst. Dir. and then Dir. of Agriculture, Mesopotamia (now Iraq) 1917-1920, lecturer in Botany, Univ. of Edinburgh 1921-1934, Prof. of Botany, Univ. of St Andrews 1934-1950, F.R.S.E. 1924, died 3 Sep 1950 in St Andrews (Fife). 
TL_2_Suppl_8_0244.md	Gran (Suppl.)	Gran, Haaken Hasberg (Suppl.)	Gran, Haaken Hasberg [std. Gran] (Suppl.)	*Gran, Haaken Hasberg	Gran, Haaken Hasberg	Gran	Gran	(Suppl.)			1870-1955	Norwegian algologist, born 17 Apr 1870 in Tønsberg, cand. real. 1894 Univ. of Bergen, asst., botany lab., Univ. of Bergen 1894, studied plant physiology with Wilhelm Pfeffer in Leipzig 1896-1897 and bacteriology with Mar- tinius Beijerinck in Delft and Texel, Ph.D. 1902, Prof. of Botany, Oslo Univ. 1905-1940, traveled to Seattle 1928, died 2 Jun 1955 in Oslo. 
TL_2_Suppl_8_0245.md	GrandEury (Suppl.)	GrandEury, François Cyrille (Suppl.)	GrandEury, François Cyrille [std. GrandEury] (Suppl.)	*Grand'Eury, François Cyrille	GrandEury, François Cyrille	Grand'Eury	Grand'Eury	(Suppl.)			1839-1917	"French mining engineer and paleontologist, born 9 Mar 1839 in Houdreville-sous Vézelise (Meurthe-et-Moselle), studied at the École Loritz, Nancy, then at the School of Mines, St.-Étienne (Loire), tutor (""répétiteur"") from 1863, then prof. of mathematics 1883-1899, also at the School of Mines, corr., Académie des Sciences 1885, Légion d' honneur and many other academic prizes, died 22 Jul 1917 in Malzéville-sous-Nancy (Meurthe-et-Moselle). "
TL_2_Suppl_8_0246.md	A.L. Grant	Grant, Adele [Adèle] [Gerard] (née Lewis)	Grant, Adele [Adèle] [Gerard] (née Lewis) [std. A.L. Grant]	Grant, Adele [Adèle] [Gerard] (née Lewis)	Grant, Adele [Adèle] [Gerard] (née Lewis)	Grant	A.L. Grant				1881-1969	American botanist, born 3 Jul 1881 in Carpenteria, Calif., B.Sc. 1902 Univ. of Calif. at Berkeley, married George F. Grant, M.A. 1919 and Ph.D. 1923 Washington Univ., St. Louis, Missouri, botany instructtor, Cornell Univ., Ithaca, New York 1920-1926, lecturer, Huguenot Univ. College, S. Afr. 1926-1930, Asst. Prof., Washington Univ. 1930-1931, lecturer, Univ. of S. Calif., retired in 1952, died 19 Jun 1969 in Los Angeles (Ingelwood). 
TL_2_Suppl_8_0247.md	B. Grant	Grant, Bartle (Capt.)	Grant, Bartle (Capt.) [std. B. Grant]	Grant, Bartle (Capt.)	Grant, Bartle (Capt.)	Grant	B. Grant				1856-1924	Scottish soldier, born 16 Sep 1856 at Rothiemurchus, educated at Edgeborough School, Guildford (Surrey), then a gentleman cadet in Royal Military Academy, Woolwich, followed by the Royal Military College Sandhurst, sub-Lieut. with the VIIIth (King's Royal Irish) Hussars 1875, in Afghanistan (awarded an Afghan Medal) and then India, made Capt. 1883 and then Major 1886, but stripped of latter rank for falling into debt, entered the Border Regiment as Capt. 1890, stationed at Rangoon, returned to England 1898, called back into service during Boer War and entered the Royal Garrison Regiment in Malta, his only child was the post-impressionist painter and designer Duncan James Corrowr Grant (1885-1978), died 16 Apr 1924 in Twickenham (ashes in- terred in Rothiemurchus). 
TL_2_Suppl_8_0248.md	A. Gray (Suppl.)	Gray, Asa (Suppl.)	Gray, Asa [std. A. Gray] (Suppl.)	*Gray, Asa	Gray, Asa	Gray	A. Gray	(Suppl.)			1810-1888	American botanist, born 18 Nov 1810 in Sauquoit (Oneida Co.), New York, son of a farmer, educated at Fairfield (New York) Academy and Fairfield Medical School (M.D. 1831), science teacher at high school in Utica, New York 1832-1835, asst. to John Torrey 1833, Curator and librarian, Lyceum of Natural History, New York City 1836, Prof. of Botany, State Univ. of Michigan (now Univ. of Michigan at Ann Arbor) 1838, visited European herbaria 1838-1839, appointed to the Fisher Chair of Natural History, Harvard Univ., Cambridge, Mass. 1842, retired from teaching 1873, president A.A.A.S. 1863-1873, regent, Smithsonian Inst. 1874-1888, F.R.S. (foreign member) 1873, LL.D. Cambridge, Oxford and Edinburgh (all 1887), died 30 Jan 1888 in Cambridge, Mass. 
TL_2_Suppl_8_0249.md	J.E. Gray (Suppl.)	Gray, John Edward (Suppl.)	Gray, John Edward [std. J.E. Gray] (Suppl.)	*Gray, John Edward	Gray, John Edward	Gray	J.E. Gray	(Suppl.)			1800-1875	"British algologist, hepaticologist and zoologist, born 12 Feb 1800 in Walsall (Staffs.), son of Samuel Frederick Gray (1766-1828) (pharmacologist and botanist) and brother of George Robert Gray (1808-1872) (ornithologist), studied medicine but abandoned it for zoology, from 1824 asst. Zoology Dept. and from 1840 Keeper of Zoology, BMNH, F.R.S. 1832, president, Bot. Soc. London 1836-1857, Dr. h.c. 1852 Univ. of Munich, F.L.S. 1857, president, Royal Entomol. Soc. London 1858-1859, died 7 Mar 1875 ""at his residence in the British Museum"" [i.e. London] (buried in Lew- isham). "
TL_2_Suppl_8_0250.md	Grecescu (Suppl.)	Grecescu, Dimitrie [Demetrius] (Suppl.)	Grecescu, Dimitrie [Demetrius] [std. Grecescu] (Suppl.)	*Grecescu, Dimitrie [Demetrius]	Grecescu, Dimitrie [Demetrius]	Grecescu	Grecescu	(Suppl.)			1841-1910	Romanian botanist and physician, born 15 Jun 1841 in Cernetz, studied medicine in Paris 1868, Academia Româna 1907, died 20 Oct 1910 in Bucharest. 
TL_2_Suppl_8_0251.md	C.T. Green	Green, C[onrad]. Theodore	Green, C[onrad]. Theodore [std. C.T. Green]	Green, C[onrad]. Theodore	Green, C[onrad]. Theodore	Green	C.T. Green				1863-1940	English physician and amateur botanist, born 18 Nov 1863 in Helme (Yorks.), M.B. 1887 London, Member Royal College of Surgeons, F.L.S. 1901, president, Liverpool Bot. Soc. 1934, died 17 Apr 1940 in Birkenhead (Cheshire.). 
TL_2_Suppl_8_0252.md	J. Green	Green, Jacob	Green, Jacob [std. J. Green]	Green, Jacob	Green, Jacob	Green	J. Green				1790-1841	American druggist and naturalist, born 26 Jul 1790 in Philadelphia, A.B. 1807 and A.M. 1810 Univ. of Penn., Philadelphia, studied and practiced law, held chairs of chemistry, experimental philosophy and natural history, Princeton Univ., Princ- eton, New Jersey 1818-1822, prof. of chemistry, Jefferson Medical College, Philadelphia 1825-1841, hon. M.D. 1827 Yale Univ., New Haven, Conn., visited England, France and Switzerland 1828, published a monograph on trilobites 1832, died 1 Feb 1841 in Philadel- phia. 
TL_2_Suppl_8_0253.md	J.R. Green	Green, J[oseph]. Reynolds	Green, J[oseph]. Reynolds [std. J.R. Green]	Green, J[oseph]. Reynolds	Green, J[oseph]. Reynolds	Green	J.R. Green				1848-1914	English botanist, born 2 Dec 1848 in Stowmarket (Suffolk), B.Sc. 1880 Univ. of London, Prof. of Botany, Pharmaceutical Society of Great Britain 1887-1907, Joddrell Lab., Kew 1892, M.A. 1888 and D.Sc. 1894 Cambridge, lecturer in vegetable physiology, Univ. of Liverpool 1907, Fellow and Lecturer, Downing Col- lege, Cambridge, F.L.S. 1889, F.R.S. 1895, died 3 Jun 1914 in Cambridge. 
TL_2_Suppl_8_0254.md	M.L. Green	Green, Mary Letitia [Manna, a.k.a. Mrs. Thomas Archibald Sprague]	Green, Mary Letitia [Manna, a.k.a. Mrs. T.A. Sprague] [std. M.L. Green]	Green, Mary Letitia ['Manna', a.k.a. Mrs. Thomas Archibald Sprague]	Green, Mary Letitia [Manna, a.k.a. Mrs. Thomas Archibald Sprague]	Green	M.L. Green				1886-1978	Welsh botanist, bibliographer and botanical artist, born 27 Nov 1886 in Breconshire, Wales, graduated Univ. College, Aberystwyth 1912 and went to Kew, where she compiled supplements to <em>Index Kewensis</em> and what is now known as <em>Index Londinensis</em>, F.L.S. 1925, Asst. in the Kew Herb. 1929, retired 1945, died 15 Jan 1978 in Cheltenham (Gloucs.), England. 
